# Wavelength Flux
4500.800603 14.256223
4501.837684 14.254741
4502.873814 14.251607
4503.911844 14.247933
4504.947975 14.244183
4505.985055 14.240426
4507.023085 14.236666
4508.060166 14.232912
4509.100095 14.229150
4510.137176 14.225400
4511.177105 14.221641
4512.215135 14.217891
4513.253165 14.214143
4514.294045 14.210386
4515.332075 14.206642
4516.372954 14.202889
4517.412883 14.199141
4518.453763 14.195392
4519.493692 14.191648
4520.533622 14.187906
4521.576400 14.184156
4522.616330 14.180417
4523.659108 14.176670
4524.699987 14.172932
4525.742766 14.169189
4526.783645 14.165455
4527.825474 14.161719
4528.869203 14.157978
4529.911031 14.154246
4530.955709 14.150505
4531.998488 14.146773
4533.043166 14.143036
4534.085945 14.139308
4535.129673 14.135578
4536.175301 14.131843
4537.219029 14.128117
4538.264657 14.124386
4539.308385 14.120664
4540.355912 14.116930
4541.400590 14.113207
4542.445268 14.109487
4543.492796 14.105758
4544.537474 14.102042
4545.585950 14.098313
4546.631578 14.094597
4547.680055 14.090872
4548.725683 14.087160
4549.772260 14.083445
4550.821687 14.079723
4551.868264 14.076012
4552.917691 14.072294
4553.965218 14.068583
4555.015594 14.064865
4556.063121 14.061158
4557.111598 14.057450
4558.161974 14.053737
4559.211401 14.050029
4560.262727 14.046317
4561.311204 14.042616
4562.363480 14.038903
4563.412906 14.035203
4564.462333 14.031504
4565.515558 14.027794
4566.565934 14.024096
4567.618210 14.020392
4568.669536 14.016694
4569.722761 14.012992
4570.774087 14.009297
4571.825413 14.005605
4572.880538 14.001901
4573.931864 13.998212
4574.986989 13.994511
4576.039265 13.990823
4577.094390 13.987126
4578.147615 13.983438
4579.200840 13.979751
4580.256915 13.976056
4581.310140 13.972374
4582.366215 13.968683
4583.420390 13.965000
4584.477414 13.961310
4585.532539 13.957627
4586.589563 13.953940
4587.644688 13.950262
4588.700762 13.946582
4589.757787 13.942900
4590.813861 13.939224
4591.872785 13.935539
4592.928859 13.931867
4593.988733 13.928183
4595.044807 13.924513
4596.102781 13.920840
4597.161705 13.917164
4598.219679 13.913494
4599.279552 13.909819
4600.338476 13.906149
4601.399299 13.902474
4602.457273 13.898811
4603.516196 13.895147
4604.577969 13.891474
4605.636893 13.887813
4606.698665 13.884144
4607.759489 13.880480
4608.821261 13.876815
4609.881135 13.873158
4610.941958 13.869500
4612.005630 13.865833
4613.066453 13.862178
4614.130125 13.858516
4615.191898 13.854861
4616.255570 13.851202
4617.318293 13.847548
4618.380065 13.843899
4619.444687 13.840242
4620.507410 13.836593
4621.572981 13.832937
4622.636653 13.829288
4623.702225 13.825635
4624.765897 13.821990
4625.829569 13.818347
4626.897040 13.814693
4627.961662 13.811051
4629.028184 13.807403
4630.093755 13.803761
4631.161226 13.800114
4632.226798 13.796476
4633.292369 13.792839
4634.360790 13.789194
4635.426362 13.785561
4636.495732 13.781916
4637.562253 13.778283
4638.631624 13.774643
4639.698145 13.771013
4640.765616 13.767383
4641.835936 13.763744
4642.903407 13.760117
4643.974677 13.756478
4645.043098 13.752852
4646.114368 13.749217
4647.182788 13.745594
4648.252159 13.741969
4649.324378 13.738337
4650.393749 13.734716
4651.465968 13.731087
4652.536288 13.727466
4653.608508 13.723841
4654.678828 13.720223
4655.750098 13.716605
4656.824217 13.712979
4657.895487 13.709364
